21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
South Africa;Africa;Southern Africa;2.479;10.222;4,12;4.916;19.781;4,02;4.862;19.529;4,02;225;960;4,27;---;---;---;---;---;---;---;---;---;1.946;52.118;26,79;590;3.352;5,68;225;1.260;5,6;---;---;---;405;1.677;4,14;3.321;15.886;4,78;3.096;15.419;4,98;---;---;---;32;1.381;43,85;86;565;6,61;77;755;9,87;572;8.992;15,73;563;3.645;6,48;---;---;---;---;---;---;900;4.440;4,93;5.604;28.133;5,02;4.275;18.326;4,29;---;---;---;567;17.724;31,27;187;1.551;8,31;64;3.050;47,85;678;29.293;43,18;1.247;8.507;6,82;113;788;7;27;292;10,8;1.125;4.665;4,15;4.680;19.302;4,12;4.721;20.270;4,29;---;---;---;328;10.475;31,98;136;1.186;8,74;35;1.575;44,68;1.364;30.081;22,06;135;1.125;8,33;---;---;---;36;313;8,7;900;4.440;4,93;2.025;8.305;4,1;1.350;6.260;4,64;---;---;---;---;---;---;45;405;9;---;---;---;270;5.438;20,14;113;788;7;135;975;7,22;---;---;---
Germany;Europe;Western Europe;237.892;865.597;3,64;2.066.866;6.489.325;3,14;386.861;1.245.800;3,22;20.762;100.697;4,85;6.622;147.343;22,25;126.441;775.885;6,14;3.557;99.256;27,9;78.088;946.109;12,12;78.015;458.703;5,88;79.157;385.839;4,87;77;675;8,82;254.128;944.845;3,72;2.068.102;6.692.932;3,24;432.526;1.438.363;3,33;13.826;67.712;4,9;15.339;458.517;29,89;124.461;785.714;6,31;3.873;90.566;23,39;67.824;887.671;13,09;83.734;508.515;6,07;101.707;525.772;5,17;195;1.679;8,61;224.073;849.336;3,79;1.812.254;5.694.854;3,14;552.928;1.816.848;3,29;5.610;32.768;5,84;7.007;269.721;38,49;113.377;705.702;6,22;4.958;156.620;31,59;132.256;1.534.157;11,6;82.366;497.096;6,04;101.888;456.015;4,48;162;1.620;10;192.173;747.353;3,89;1.811.082;5.778.824;3,19;442.101;1.481.211;3,35;6.597;39.879;6,04;6.780;188.860;27,85;109.633;700.858;6,39;5.537;167.279;30,21;111.806;1.429.508;12,79;82.580;484.442;5,87;97.231;648.987;6,67;2.486;21.713;8,74;239.241;896.271;3,75;1.717.328;5.500.643;3,2;452.163;1.546.750;3,42;44.926;144.652;3,22;7.532;290.040;38,51;109.875;737.032;6,71;7.122;228.343;32,06;121.021;1.590.057;13,14;73.559;457.026;6,21;97.514;659.133;6,76;932;10.329;11,09
Andorra;Europe;Southern Europe;20.078;80.287;4;47.743;177.779;3,72;21.088;78.919;3,74;---;---;---;---;---;---;248;2.118;8,56;---;---;---;1.074;13.348;12,43;2.231;15.490;6,94;815;5.376;6,6;---;---;---;13.282;50.993;3,84;34.124;123.794;3,63;14.672;63.109;4,3;603;1.970;3,27;23;840;37,33;256;2.342;9,17;---;---;---;1.070;14.763;13,8;1.712;12.499;7,3;1.800;12.375;6,88;---;---;---;19.469;76.158;3,91;56.525;199.801;3,53;20.885;78.084;3,74;513;1.676;3,27;32;1.885;59,85;256;2.384;9,33;46;530;11,58;970;14.017;14,45;1.018;7.566;7,44;2.282;16.157;7,08;---;---;---;17.979;73.514;4,09;37.086;141.685;3,82;16.730;66.913;4;513;1.676;3,27;99;3.226;32,59;151;1.410;9,34;23;265;11,78;1.049;14.612;13,93;2.371;17.494;7,38;1.647;11.132;6,76;---;---;---;13.392;56.206;4,2;25.484;100.919;3,96;12.756;54.641;4,28;---;---;---;32;786;24,95;540;4.475;8,29;104;2.140;20,68;1.503;20.989;13,96;1.322;9.501;7,19;2.619;18.290;6,98;---;---;---
Angola;Africa;Middle Africa;8.526;40.844;4,79;134.639;534.373;3,97;26.843;123.123;4,59;825;4.062;4,92;1.226;33.834;27,61;711;6.962;9,79;---;---;---;10.397;190.289;18,3;2.409;10.724;4,45;5.643;47.207;8,37;---;---;---;6.199;30.897;4,98;127.065;500.850;3,94;22.789;104.571;4,59;84;794;9,45;2.061;43.455;21,08;2.796;30.360;10,86;38;2.209;58,91;13.047;290.399;22,26;4.601;21.367;4,64;5.461;44.388;8,13;---;---;---;5.914;29.589;5;152.117;602.324;3,96;29.699;137.702;4,64;1.122;9.620;8,58;3.918;121.524;31,01;2.934;31.842;10,85;95;1.747;18,49;14.510;320.775;22,11;3.676;22.190;6,04;11.129;93.927;8,44;---;---;---;3.993;20.878;5,23;69.655;315.234;4,53;14.115;72.656;5,15;135;726;5,38;669;25.321;37,85;840;11.472;13,66;96;10.815;112,66;6.449;171.040;26,52;2.648;14.084;5,32;4.275;37.666;8,81;---;---;---;3.720;19.739;5,31;29.630;141.716;4,78;8.577;42.109;4,91;---;---;---;312;11.793;37,8;549;4.378;7,97;4;0;---;3.868;124.838;32,28;473;3.414;7,22;4.061;34.588;8,52;---;---;---
Anguilla;North America;Caribbean;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;770;3.095;4,02;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Antigua;North America;Caribbean;---;---;---;657;2.704;4,12;---;---;---;---;---;---;9;258;28,67;23;135;6,01;---;---;---;---;---;---;---;---;---;45;285;6,34;---;---;---;---;---;---;243;1.030;4,24;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;23;275;12,21;---;---;---;23;143;6,36;---;---;---;---;---;---;896;3.899;4,35;---;---;---;---;---;---;45;1.364;30,3;---;---;---;---;---;---;45;791;17,57;---;---;---;23;140;6,22;---;---;---;---;---;---;432;2.305;5,33;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;450;2.387;5,3;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;45;356;7,9;---;---;---
Netherlands Antilles;North America;Caribbean;1.881;9.530;5,07;2.966;15.026;5,07;7.025;35.040;4,99;76;720;9,5;5;120;26,67;32;256;8,12;41;1.069;25,92;221;3.735;16,94;158;1.428;9,07;9;84;9,33;27;234;8,67;2.273;11.413;5,02;2.354;11.168;4,75;7.560;37.940;5,02;---;---;---;32;1.042;33,07;90;757;8,42;32;2.830;89,83;257;6.765;26,38;---;---;---;---;---;---;---;---;---;819;4.177;5,1;1.638;7.992;4,88;4.919;23.606;4,8;45;432;9,6;23;638;28,33;45;324;7,2;73;2.950;40,55;194;5.340;27,6;---;---;---;---;---;---;18;180;10;234;1.248;5,33;468;2.557;5,46;1.179;6.334;5,37;---;---;---;18;439;24,4;36;332;9,23;9;282;31,33;36;805;22,36;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Algeria;Africa;Northern Africa;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;900;4.604;5,12;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Argentina;South America;South America;---;---;---;270;1.440;5,33;270;1.440;5,33;---;---;---;---;---;---;45;395;8,78;---;---;---;320;7.786;24,37;297;2.370;7,98;---;---;---;---;---;---;558;2.118;3,8;180;691;3,84;3.240;12.272;3,79;---;---;---;23;571;25,37;810;6.406;7,91;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;63;299;4,74;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;221;6.797;30,83;63;529;8,4;---;---;---;---;---;---;1.035;4.569;4,41;---;---;---;3.285;14.503;4,41;---;---;---;---;---;---;360;3.320;9,22;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
