Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Brazil;South America;South America;35.840;152.778;4,26;380.857;1.410.463;3,7;440.489;1.610.472;3,66;---;---;---;4.731;103.778;21,94;13.182;93.789;7,12;323;9.080;28,15;23.683;367.618;15,52;21.057;120.589;5,73;32.930;205.900;6,25;---;---;---;45.477;182.909;4,02;347.754;1.308.075;3,76;531.726;1.917.275;3,61;---;---;---;5.268;95.945;18,21;14.482;106.845;7,38;222;4.386;19,76;26.301;383.539;14,58;24.805;133.192;5,37;50.036;275.413;5,5;---;---;---;36.133;148.089;4,1;293.028;1.142.640;3,9;409.319;1.903.245;4,65;3.105;21.662;6,98;8.132;167.013;20,54;9.752;79.651;8,17;916;14.165;15,46;22.575;326.819;14,48;22.814;124.592;5,46;33.279;234.593;7,05;---;---;---;53.594;212.612;3,97;374.257;1.394.117;3,73;517.695;1.923.998;3,72;14.178;62.883;4,44;6.854;116.898;17,06;14.860;121.370;8,17;1.289;31.022;24,06;34.053;486.294;14,28;33.582;195.763;5,83;42.825;477.160;11,14;---;---;---;30.892;134.071;4,34;400.999;1.504.040;3,75;592.983;2.250.171;3,79;16.334;83.294;5,1;5.051;114.172;22,61;17.630;154.855;8,78;582;34.123;58,68;37.353;589.494;15,78;38.101;226.960;5,96;39.388;274.660;6,97;---;---;---
Bulgaria;Europe;Eastern Europe;356;1.680;4,73;356;1.678;4,72;374;1.763;4,72;---;---;---;14;244;18,09;108;918;8,5;---;---;---;243;6.482;26,68;95;857;9,07;77;821;10,74;---;---;---;531;2.464;4,64;671;3.085;4,6;522;2.448;4,69;---;---;---;9;101;11,21;122;1.028;8,46;---;---;---;194;3.801;19,64;45;394;8,76;45;529;11,76;---;---;---;14;77;5,67;23;116;5,13;225;1.115;4,96;---;---;---;23;500;22,22;32;265;8,41;---;---;---;14;187;13,85;---;---;---;23;170;7,56;---;---;---;329;1.600;4,87;513;2.468;4,81;243;1.203;4,95;---;---;---;---;---;---;99;794;8,02;---;---;---;104;1.359;13,13;27;189;6,99;95;1.063;11,25;---;---;---;329;1.623;4,94;401;1.943;4,85;248;1.291;5,22;---;---;---;5;330;73,33;---;---;---;---;---;---;23;698;31,02;---;---;---;95;1.238;13,1;---;---;---
Bosnia Herzegovina;Europe;Southern Europe;727;3.288;4,52;1.049;4.698;4,48;855;3.762;4,4;---;---;---;---;---;---;---;---;---;---;---;---;402;8.383;20,85;135;1.323;9,8;---;---;---;---;---;---;414;1.794;4,33;819;3.576;4,37;405;1.782;4,4;---;---;---;---;---;---;---;---;---;---;---;---;20;606;31,08;45;441;9,8;---;---;---;---;---;---;225;1.020;4,53;450;2.039;4,53;225;1.020;4,53;---;---;---;---;---;---;---;---;---;---;---;---;32;694;22,03;45;468;10,39;---;---;---;---;---;---;137;612;4,48;542;2.447;4,52;362;1.631;4,51;138;702;5,09;---;---;---;2;0;---;2;0;---;68;1.508;22,34;20;187;9,59;---;---;---;---;---;---;180;815;4,53;675;3.059;4,53;225;1.020;4,53;90;468;5,2;---;---;---;---;---;---;---;---;---;77;1.683;22;---;---;---;23;233;10,36;---;---;---
Cape Verde;Africa;Western Africa;639;2.965;4,64;3.038;13.996;4,61;720;3.221;4,47;---;---;---;113;2.659;23,64;113;997;8,86;---;---;---;160;3.468;21,71;72;589;8,18;518;4.329;8,36;---;---;---;728;3.287;4,52;3.156;14.392;4,56;855;3.900;4,56;---;---;---;215;5.267;24,55;233;1.801;7,75;---;---;---;300;5.751;19,17;225;1.577;7,01;230;1.985;8,65;---;---;---;308;1.458;4,74;2.165;9.971;4,61;855;3.772;4,41;---;---;---;---;---;---;122;940;7,73;---;---;---;248;3.372;13,62;495;3.752;7,58;198;1.663;8,4;---;---;---;864;4.109;4,76;3.191;15.177;4,76;1.251;5.698;4,56;---;---;---;180;3.986;22,15;293;2.719;9,3;---;---;---;203;3.793;18,73;54;421;7,8;288;2.378;8,26;---;---;---;225;1.041;4,63;5.288;25.156;4,76;968;4.306;4,45;135;810;6;149;4.608;31,03;23;198;8,78;---;---;---;27;606;22,44;---;---;---;257;2.155;8,4;---;---;---
Cameroon;Africa;Middle Africa;180;965;5,36;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;41;313;7,73;---;---;---;266;2.237;8,43;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Cambodia;Asia;South-Eastern Asia;---;---;---;315;1.723;5,47;90;487;5,41;---;---;---;---;---;---;---;---;---;---;---;---;90;2.662;29,58;---;---;---;---;---;---;---;---;---;---;---;---;315;1.730;5,49;135;742;5,49;---;---;---;---;---;---;---;---;---;---;---;---;81;2.410;29,76;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;20;102;5,23;54;306;5,67;---;---;---;---;---;---;---;---;---;---;---;---;20;371;19,02;---;---;---;29;252;8,84;---;---;---;---;---;---;---;---;---;36;215;5,96;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;45;420;9,33;---;---;---;---;---;---
Canada;North America;Northern America;160.617;847.691;5,28;246.920;1.196.664;4,85;162.373;861.188;5,3;---;---;---;21.560;570.626;26,47;576.701;3.896.887;6,76;49.549;879.309;17,75;532.635;7.784.371;14,61;332.952;1.798.644;5,4;63.284;388.801;6,14;1.539;16.743;10,88;145.881;693.223;4,75;210.029;985.084;4,69;131.347;678.163;5,16;2.034;11.839;5,82;26.732;517.934;19,38;500.146;3.132.103;6,26;37.303;707.743;18,97;518.180;6.782.741;13,09;181.764;988.846;5,44;90.000;522.035;5,8;1.899;14.362;7,56;147.300;675.129;4,58;186.795;882.161;4,72;136.295;675.046;4,95;8.553;53.509;6,26;19.785;495.023;25,02;422.915;2.693.219;6,37;29.577;550.011;18,6;464.652;6.103.630;13,14;189.045;1.006.702;5,33;141.457;724.321;5,12;306;3.272;10,69;160.645;875.027;5,45;194.391;1.025.448;5,28;147.221;825.945;5,61;10.761;83.892;7,8;15.679;323.993;20,66;450.029;3.115.449;6,92;30.860;571.182;18,51;472.055;7.173.277;15,2;175.811;1.070.672;6,09;156.411;935.942;5,98;509;5.718;11,24;153.125;842.175;5,5;180.371;941.736;5,22;91.450;541.677;5,92;12.261;98.592;8,04;30.255;547.685;18,1;395.258;2.769.847;7,01;33.870;739.402;21,83;429.280;6.653.630;15,5;146.103;921.684;6,31;130.586;789.430;6,05;5;34;7,6
Qatar;Asia;Western Asia;---;---;---;---;---;---;---;---;---;---;---;---;9;612;68;90;790;8,78;---;---;---;1.188;20.806;17,51;---;---;---;---;---;---;---;---;---;135;705;5,22;315;1.260;4;270;1.080;4;270;1.560;5,78;---;---;---;270;2.370;8,78;---;---;---;1.656;37.344;22,55;---;---;---;---;---;---;---;---;---;180;940;5,22;810;3.240;4;720;2.880;4;90;520;5,78;27;2.250;83,33;117;1.027;8,78;---;---;---;792;18.475;23,33;---;---;---;---;---;---;---;---;---;171;893;5,22;675;2.700;4;1.170;4.680;4;180;1.040;5,78;---;---;---;414;3.634;8,78;---;---;---;1.539;35.980;23,38;---;---;---;---;---;---;---;---;---;162;846;5,22;810;3.240;4;945;3.780;4;405;2.340;5,78;9;750;83,33;495;4.345;8,78;2.615;58.650;22,43;585;10.990;18,79;---;---;---;---;---;---;---;---;---
Cayman;North America;Caribbean;---;---;---;---;---;---;360;1.588;4,41;---;---;---;360;14.493;40,26;558;4.837;8,67;---;---;---;459;10.783;23,49;1.404;8.792;6,26;---;---;---;---;---;---;---;---;---;432;1.523;3,53;1.980;6.896;3,48;---;---;---;243;4.289;17,65;504;3.183;6,32;---;---;---;189;3.086;16,33;1.026;5.426;5,29;---;---;---;---;---;---;---;---;---;---;---;---;720;2.770;3,85;---;---;---;185;5.958;32,29;270;1.929;7,15;---;---;---;261;5.105;19,56;1.539;8.919;5,8;---;---;---;---;---;---;---;---;---;495;2.036;4,11;1.908;7.458;3,91;---;---;---;---;---;---;45;456;10,14;63;1.120;17,78;68;1.433;21,23;1.593;10.371;6,51;---;---;---;---;---;---;---;---;---;---;---;---;1.224;4.666;3,81;---;---;---;405;9.365;23,12;486;3.427;7,05;---;---;---;218;6.379;29,33;1.548;9.008;5,82;---;---;---;---;---;---
Kazakhstan;Asia;Central Asia;90;587;6,53;23;102;4,55;158;717;4,55;---;---;---;86;6.069;70,98;135;1.193;8,84;---;---;---;113;1.984;17,64;68;542;8,03;---;---;---;---;---;---;455;2.404;5,29;158;717;4,55;626;3.002;4,8;---;---;---;153;10.623;69,43;279;2.447;8,77;---;---;---;347;6.385;18,43;464;3.811;8,22;---;---;---;---;---;---;540;2.883;5,34;135;603;4,46;563;2.629;4,67;---;---;---;189;10.088;53,38;36;330;9,17;---;---;---;158;2.597;16,49;345;2.873;8,33;45;301;6,7;---;---;---;3.758;17.937;4,77;653;2.958;4,53;3.330;15.990;4,8;---;---;---;---;---;---;---;---;---;---;---;---;968;19.051;19,69;1.035;6.923;6,69;180;1.221;6,78;---;---;---;4.244;20.654;4,87;432;1.968;4,56;4.208;20.100;4,78;---;---;---;23;1.875;83,33;144;1.334;9,26;---;---;---;2.057;44.006;21,4;1.449;9.909;6,84;158;1.076;6,83;---;---;---
Chile;South America;South America;45;221;4,91;4.671;20.927;4,48;1.206;5.467;4,53;---;---;---;---;---;---;495;4.197;8,48;---;---;---;45;700;15,56;1.211;9.523;7,87;---;---;---;---;---;---;45;221;4,91;1.665;7.400;4,44;---;---;---;---;---;---;90;3.914;43,49;270;2.387;8,84;---;---;---;225;4.730;21,02;270;2.274;8,42;---;---;---;---;---;---;---;---;---;1.800;8.652;4,81;81;423;5,22;---;---;---;---;---;---;1.278;9.717;7,6;---;---;---;180;2.660;14,78;---;---;---;---;---;---;---;---;---;---;---;---;1.980;8.412;4,25;612;2.476;4,05;---;---;---;18;1.128;62,67;1.476;10.969;7,43;---;---;---;180;4.030;22,39;---;---;---;---;---;---;---;---;---;180;630;3,5;2.241;9.978;4,45;1.305;5.606;4,3;639;3.618;5,66;---;---;---;2.349;18.451;7,86;---;---;---;270;3.570;13,22;180;1.003;5,57;---;---;---;---;---;---
China;Asia;EasternAsia;1.358;6.458;4,76;507;2.101;4,14;5.663;28.061;4,96;---;---;---;268;8.393;31,35;967;8.494;8,79;---;---;---;2.152;44.409;20,64;312;2.686;8,61;144;1.965;13,65;---;---;---;4.384;14.231;3,25;6.500;24.922;3,83;3.045;17.098;5,61;---;---;---;415;20.034;48,28;1.084;9.166;8,46;51;1.926;37,77;3.080;58.555;19,01;482;4.306;8,94;182;2.592;14,28;---;---;---;5.630;27.992;4,97;15.798;57.343;3,63;6.313;28.204;4,47;1.035;9.234;8,92;294;30.677;104,48;2.564;19.969;7,79;142;2.209;15,58;2.988;46.905;15,7;4.093;27.794;6,79;534;4.210;7,89;---;---;---;777;4.908;6,31;6.337;21.484;3,39;8.919;41.559;4,66;140;630;4,49;522;12.260;23,49;2.952;24.191;8,19;185;3.816;20,6;4.779;76.398;15,99;1.025;11.599;11,32;92;1.375;14,91;---;---;---;7.020;31.986;4,56;14.520;69.480;4,79;12.580;56.650;4,5;1.035;4.992;4,82;264;5.637;21,35;6.151;40.925;6,65;866;17.212;19,87;4.782;93.967;19,65;6.797;44.146;6,5;1.665;19.742;11,86;---;---;---
Cyprus;Europe;Western Asia;99;526;5,32;495;2.354;4,76;1.089;5.491;5,04;---;---;---;54;1.704;31,55;734;6.349;8,66;---;---;---;333;7.729;23,21;1.616;8.544;5,29;---;---;---;---;---;---;---;---;---;518;2.470;4,77;840;3.475;4,14;---;---;---;68;768;11,38;311;2.486;8,01;---;---;---;68;3.785;56,07;1.575;8.007;5,08;---;---;---;---;---;---;45;234;5,19;497;2.362;4,76;582;2.758;4,74;---;---;---;228;5.322;23,34;141;1.422;10,08;18;320;17,78;105;3.191;30,39;1.274;6.508;5,11;---;---;---;---;---;---;45;233;5,17;702;3.567;5,08;1.239;5.943;4,8;---;---;---;9;117;13;266;2.277;8,58;---;---;---;101;2.533;25,01;1.164;6.426;5,52;---;---;---;---;---;---;50;230;4,65;203;955;4,72;332;1.454;4,39;---;---;---;38;1.503;39,29;342;3.286;9,61;23;385;17,11;171;3.481;20,36;1.055;5.780;5,48;---;---;---;---;---;---
Colombia;South America;South America;---;---;---;---;---;---;1.035;4.600;4,44;---;---;---;8;5;0,67;---;---;---;---;---;---;---;---;---;---;---;---;315;2.170;6,89;---;---;---;---;---;---;---;---;---;1.125;5.000;4,44;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;180;1.240;6,89;---;---;---;---;---;---;504;1.943;3,86;450;2.000;4,44;---;---;---;---;---;---;126;916;7,27;---;---;---;99;1.443;14,57;126;790;6,27;---;---;---;---;---;---;---;---;---;423;1.998;4,72;1.382;6.000;4,34;---;---;---;32;962;30,55;1.269;10.891;8,58;---;---;---;302;4.669;15,48;774;5.972;7,72;90;620;6,89;---;---;---;---;---;---;918;4.684;5,1;1.431;6.192;4,33;---;---;---;54;1.882;34,84;1.238;10.745;8,68;---;---;---;306;5.209;17,02;666;5.254;7,89;225;1.550;6,89;---;---;---
Congo;Africa;Middle Africa;90;465;5,16;---;---;---;1.895;9.937;5,25;---;---;---;45;981;21,79;90;737;8,19;---;---;---;23;664;29,53;---;---;---;113;913;8,12;---;---;---;---;---;---;---;---;---;864;4.453;5,15;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;2.043;11.044;5,41;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;158;752;4,77;90;403;4,48;630;3.273;5,19;---;---;---;---;---;---;---;---;---;---;---;---;23;664;29,53;---;---;---;68;554;8,21;---;---;---;158;900;5,72;---;---;---;1.062;5.644;5,31;---;---;---;45;612;13,6;135;1.314;9,73;---;---;---;135;1.904;14,1;315;2.559;8,12;225;1.893;8,41;---;---;---
South Korea;Asia;Eastern Asia;---;---;---;5.603;28.461;5,08;1.431;7.486;5,23;---;---;---;123;3.736;30,37;2.155;20.637;9,58;---;---;---;1.519;29.313;19,3;3.393;19.082;5,62;774;5.521;7,13;---;---;---;285;4.665;16,37;4.550;25.216;5,54;3.948;22.894;5,8;---;---;---;99;6.796;68,65;2.215;24.142;10,9;---;---;---;2.209;41.207;18,66;5.019;34.500;6,87;1.350;16.248;12,04;---;---;---;59;447;7,64;923;4.823;5,23;180;1.149;6,38;5;0;---;20;527;26,02;680;6.377;9,38;---;---;---;504;10.642;21,12;644;3.466;5,39;---;---;---;---;---;---;---;---;---;900;5.608;6,23;612;4.137;6,76;---;---;---;135;2.445;18,11;524;4.808;9,18;---;---;---;261;3.829;14,67;1.148;7.082;6,17;2;3;2;---;---;---;36;127;3,53;2.162;12.213;5,65;588;3.878;6,6;---;---;---;205;5.603;27,36;2;1;0,44;2;1;0,44;501;7.337;14,64;2.576;16.988;6,6;27;185;6,83;---;---;---
Cote d'Ivoire;Africa;Western Africa;---;---;---;---;---;---;4.050;15.475;3,82;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;180;1.328;7,38;---;---;---;---;---;---;1.013;3.684;3,64;---;---;---;6.300;24.949;3,96;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;45;362;8,04;---;---;---;1.058;4.396;4,16;---;---;---;11.745;44.473;3,79;---;---;---;---;---;---;---;---;---;---;---;---;135;1.574;11,66;608;4.450;7,32;203;1.623;8,01;---;---;---;315;1.027;3,26;---;---;---;6.750;25.519;3,78;---;---;---;---;---;---;---;---;---;---;---;---;68;2.395;35,48;180;1.313;7,29;---;---;---;---;---;---;608;2.410;3,97;---;---;---;7.020;28.625;4,08;---;---;---;---;---;---;---;---;---;---;---;---;90;4.273;47,47;270;1.970;7,3;45;360;7,99;---;---;---
Costa Rica;North America;Central America;59;230;3,93;4.338;16.018;3,69;743;2.899;3,9;---;---;---;189;3.399;17,99;---;---;---;---;---;---;185;2.849;15,44;468;2.917;6,23;68;433;6,42;---;---;---;158;575;3,65;3.821;13.369;3,5;---;---;---;---;---;---;54;828;15,34;90;524;5,82;---;---;---;441;5.119;11,61;126;733;5,82;68;384;5,69;---;---;---;23;94;4,17;1.908;7.738;4,06;---;---;---;---;---;---;81;1.345;16,61;---;---;---;---;---;---;81;1.347;16,63;---;---;---;45;300;6,67;---;---;---;---;---;---;3.578;14.699;4,11;135;463;3,43;---;---;---;32;560;17,77;126;588;4,67;---;---;---;117;1.739;14,87;63;357;5,67;---;---;---;---;---;---;---;---;---;4.752;18.893;3,98;---;---;---;---;---;---;162;2.459;15,18;---;---;---;---;---;---;365;4.182;11,47;252;1.310;5,2;---;---;---;---;---;---
Croatia;Europe;Southern Europe;1.620;9.081;5,61;3.240;13.528;4,18;1.620;7.757;4,79;---;---;---;18;408;22,67;972;9.658;9,94;---;---;---;497;7.753;15,62;945;7.333;7,76;---;---;---;---;---;---;227;995;4,39;3.791;12.940;3,41;677;2.975;4,4;---;---;---;---;---;---;243;1.733;7,13;---;---;---;230;2.873;12,52;---;---;---;---;---;---;---;---;---;225;1.020;4,53;1.485;6.969;4,69;450;2.039;4,53;---;---;---;---;---;---;200;2.719;13,58;144;2.400;16,67;90;1.224;13,6;270;1.800;6,67;---;---;---;---;---;---;113;484;4,3;869;3.196;3,68;338;1.453;4,31;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1.814;7.018;3,87;180;775;4,31;---;---;---;---;---;---;225;1.753;7,79;---;---;---;45;320;7,1;198;960;4,85;---;---;---;---;---;---
Cuba;North America;Caribbean;---;---;---;---;---;---;113;495;4,4;---;---;---;86;2.315;27,07;135;1.289;9,55;---;---;---;68;945;14;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;450;1.980;4,4;---;---;---;95;2.687;28,43;333;2.954;8,87;---;---;---;90;1.260;14;---;---;---;---;---;---;---;---;---;2;0;---;2;0;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;27;216;8;---;---;---;---;---;---;---;---;---;52;1.889;36,5;59;693;11,84;---;---;---;27;342;12,67;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;585;2.574;4,4;---;---;---;---;---;---;203;1.670;8,24;---;---;---;68;945;14;---;---;---;---;---;---;---;---;---
Denmark;Europe;Northern Europe;267.178;919.808;3,44;436.205;1.495.036;3,43;244.979;917.663;3,75;---;---;---;59.941;954.154;15,92;123.880;872.820;7,05;64.643;752.113;11,63;79.803;942.870;11,81;82.529;539.535;6,54;18.473;117.430;6,36;---;---;---;197.700;691.376;3,5;348.060;1.229.370;3,53;221.766;840.532;3,79;450;2.478;5,51;51.017;786.298;15,41;102.192;674.051;6,6;47.748;539.438;11,3;64.474;740.748;11,49;49.666;335.287;6,75;22.306;171.326;7,68;5;49;10,89;209.628;723.875;3,45;360.519;1.257.628;3,49;225.106;836.413;3,72;5.141;39.825;7,75;65.555;944.595;14,41;112.239;815.702;7,27;75.910;1.422.409;18,74;80.773;871.192;10,79;51.884;385.455;7,43;16.791;115.848;6,9;63;714;11,33;189.268;649.692;3,43;380.986;1.315.497;3,45;239.182;910.784;3,81;4.095;29.166;7,12;243.014;2.721.763;11,2;166.607;1.160.139;6,96;333.345;4.388.381;13,16;141.043;1.545.554;10,96;64.274;490.757;7,64;33.591;310.138;9,23;45;510;11,33;220.257;743.140;3,37;394.899;1.338.086;3,39;250.164;884.992;3,54;8.699;63.343;7,28;189.418;2.551.998;13,47;119.291;858.777;7,2;64.169;899.618;14,02;70.652;749.285;10,61;53.243;337.008;6,33;42.073;354.820;8,43;90;969;10,77
United Arab Emirates;Asia;Western Asia;344;1.610;4,69;2.354;12.321;5,23;4.226;22.193;5,25;---;---;---;5.166;122.601;23,73;4.221;32.424;7,68;675;7.650;11,33;1.821;34.546;18,97;1.935;11.992;6,2;---;---;---;---;---;---;608;2.913;4,8;2.925;15.170;5,19;5.846;29.806;5,1;540;3.300;6,11;2.889;105.546;36,53;4.412;32.841;7,44;45;1.355;30,11;3.400;70.378;20,7;1.737;11.225;6,46;---;---;---;---;---;---;252;1.123;4,46;2.745;14.390;5,24;4.275;23.062;5,39;---;---;---;1.728;103.054;59,64;8.028;54.002;6,73;---;---;---;987;15.797;16,01;243;1.553;6,39;---;---;---;---;---;---;685;3.266;4,77;4.955;23.704;4,78;14.567;67.016;4,6;---;---;---;504;12.888;25,57;2.021;14.827;7,34;1;2;2,8;1.435;26.461;18,44;12.473;60.558;4,86;---;---;---;---;---;---;1.650;7.965;4,83;10.829;50.091;4,63;11.931;55.588;4,66;90;275;3,06;2.571;64.484;25,08;5.143;44.776;8,71;---;---;---;11.055;137.587;12,45;1.319;8.960;6,8;---;---;---;---;---;---
Ecuador;South America;South America;---;---;---;---;---;---;4.500;22.450;4,99;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1.800;8.980;4,99;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;1.890;6.233;3,3;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;3.150;11.420;3,63;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;720;4.022;5,59;---;---;---;5.400;27.720;5,13;---;---;---;---;---;---;540;5.522;10,23;---;---;---;360;4.310;11,97;---;---;---;---;---;---;---;---;---
Slovakia;Europe;Eastern Europe;270;1.260;4,67;6.566;20.838;3,17;6.957;21.676;3,12;---;---;---;41;956;23,62;86;733;8,57;27;977;36,19;320;5.079;15,9;50;323;6,53;---;---;---;---;---;---;374;1.810;4,85;2.957;11.227;3,8;828;3.860;4,66;---;---;---;226;4.196;18,59;185;1.307;7,09;36;1.381;38,35;532;8.107;15,25;59;387;6,62;---;---;---;---;---;---;38;385;10,07;12.438;32.849;2,64;11.734;33.710;2,87;---;---;---;41;978;24,15;86;765;8,95;---;---;---;2.894;25.750;8,9;50;300;6,06;---;---;---;---;---;---;701;4.155;5,93;41.007;199.332;4,86;7.473;22.968;3,07;75;664;8,85;99;2.993;30,23;345;3.363;9,76;117;1.943;16,6;1.867;20.101;10,77;749;4.857;6,48;203;1.395;6,89;---;---;---;248;1.629;6,58;8.502;26.970;3,17;12.917;38.575;2,99;2.903;9.522;3,28;64;2.305;36,16;199;1.857;9,34;41;746;18,43;312;10.185;32,62;424;2.449;5,78;159;1.098;6,92;---;---;---
Slovenia;Europe;Southern Europe;---;---;---;1.262;7.621;6,04;1.935;6.317;3,26;---;---;---;371;9.369;25,24;1.276;9.212;7,22;---;---;---;654;15.453;23,63;---;---;---;189;1.296;6,86;---;---;---;167;781;4,69;2.142;9.431;4,4;1.764;6.918;3,92;---;---;---;216;4.547;21,05;158;1.347;8,55;77;3.496;45,7;977;32.144;32,92;---;---;---;450;3.300;7,33;---;---;---;90;378;4,2;1.206;5.444;4,51;315;1.456;4,62;---;---;---;101;2.227;22,16;368;2.985;8,12;45;1.545;34,33;884;15.387;17,42;2;0;---;2;0;---;---;---;---;---;---;---;270;1.312;4,86;725;3.328;4,59;---;---;---;45;1.014;22,53;135;1.530;11,33;---;---;---;331;4.860;14,68;---;---;---;---;---;---;---;---;---;504;2.157;4,28;2.039;9.430;4,63;1.280;5.807;4,54;---;---;---;1;34;44,68;226;1.855;8,22;---;---;---;689;7.660;11,13;---;---;---;---;---;---;---;---;---
Spain;Europe;Southern Europe;155.939;727.200;4,66;869.085;3.546.713;4,08;343.250;1.272.226;3,71;---;---;---;7.045;183.657;26,07;23.984;171.231;7,14;734;19.475;26,55;66.446;753.256;11,34;32.491;156.123;4,81;13.474;87.137;6,47;---;---;---;118.339;561.683;4,75;640.882;2.629.616;4,1;275.379;1.043.472;3,79;---;---;---;6.902;192.022;27,82;22.037;152.182;6,91;431;15.127;35,14;42.732;503.178;11,78;24.458;126.684;5,18;26.062;129.701;4,98;86;961;11,23;151.406;788.716;5,21;694.457;2.877.219;4,14;281.257;1.037.695;3,69;252;882;3,5;4.535;92.703;20,44;17.720;128.564;7,26;505;10.681;21,16;36.254;416.566;11,49;11.537;59.514;5,16;10.362;69.696;6,73;---;---;---;114.552;573.115;5;683.671;2.842.809;4,16;262.482;974.988;3,71;5.801;26.849;4,63;1.552;37.571;24,21;15.710;107.250;6,83;1.355;28.277;20,86;47.296;491.662;10,4;19.694;110.305;5,6;7.179;47.175;6,57;---;---;---;96.446;467.650;4,85;684.131;2.777.010;4,06;298.615;1.204.729;4,03;4.824;19.755;4,1;1.722;37.617;21,85;18.682;116.994;6,26;356;7.312;20,52;38.239;416.585;10,89;22.959;127.472;5,55;6.158;42.014;6,82;---;---;---
