Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Austria;Europe;Western Europe;22.457;100.894;4,49;10.059;38.704;3,85;82.773;374.361;4,52;---;---;---;1.292;37.939;29,36;8.327;62.916;7,56;864;28.909;33,46;4.860;81.045;16,68;4.048;27.891;6,89;414;2.922;7,05;---;---;---;19.038;85.677;4,5;10.502;37.542;3,57;103.798;508.339;4,9;2;14;6;1.115;34.229;30,69;5.540;47.383;8,55;548;14.170;25,85;4.278;72.186;16,87;3.574;26.784;7,49;166;1.369;8,26;---;---;---;20.001;89.984;4,5;5.163;22.087;4,28;86.471;392.953;4,54;---;---;---;2.028;55.806;27,51;4.493;37.346;8,31;511;9.665;18,92;4.255;68.031;15,99;5.730;43.020;7,51;392;2.612;6,67;---;---;---;24.629;110.085;4,47;6.529;27.939;4,28;93.031;422.863;4,55;81;495;6,11;1.739;39.879;22,93;5.655;48.074;8,5;522;9.973;19,11;6.106;105.495;17,28;4.977;40.465;8,13;221;1.631;7,4;---;---;---;24.543;110.280;4,49;8.981;41.917;4,67;106.619;480.339;4,51;86;560;6,55;1.586;41.393;26,09;4.991;43.544;8,73;832;24.343;29,27;6.230;102.907;16,52;5.010;39.414;7,87;455;4.057;8,93;---;---;---
Azerbaijan;Asia;Western Asia;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;672;7,47;180;840;4,67;225;1.000;4,44;---;---;---;117;1.614;13,79;45;285;6,33;72;805;11,18;72;1.610;22,36;---;---;---;90;700;7,78;---;---;---;68;337;4,99;72;336;4,67;45;200;4,44;---;---;---;95;1.310;13,86;23;135;6;90;1.065;11,83;59;1.080;18,46;---;---;---;---;---;---;---;---;---
Belgium;Europe;Western Europe;2.701.467;8.633.385;3,2;2.953.645;10.457.650;3,54;5.307.012;16.924.900;3,19;---;---;---;13.197;213.729;16,2;70.590;592.144;8,39;17.332;280.047;16,16;294.824;3.174.413;10,77;133.345;753.215;5,65;103.838;660.032;6,36;---;---;---;2.613.700;8.511.101;3,26;2.531.786;9.097.773;3,59;5.110.114;16.811.206;3,29;90;486;5,4;6.369;134.077;21,05;52.545;431.809;8,22;10.370;146.289;14,11;340.831;3.338.229;9,79;90.061;528.793;5,87;180.773;1.095.962;6,06;---;---;---;2.606.926;8.455.211;3,24;2.403.377;8.835.132;3,68;4.834.451;15.915.240;3,29;6.755;43.171;6,39;14.568;310.776;21,33;59.777;493.216;8,25;10.800;152.779;14,15;329.682;2.871.051;8,71;72.722;396.256;5,45;143.934;911.060;6,33;5;1;0,22;2.543.052;8.214.495;3,23;2.316.436;8.516.706;3,68;5.205.659;17.114.018;3,29;15.918;80.938;5,08;7.379;135.179;18,32;69.164;552.231;7,98;10.053;148.026;14,72;341.730;2.879.921;8,43;88.186;498.980;5,66;177.040;1.087.034;6,14;---;---;---;2.444.087;8.024.107;3,28;2.220.435;8.190.291;3,69;4.230.549;14.107.012;3,33;19.422;123.032;6,33;4.960;118.183;23,83;53.925;411.515;7,63;9.590;161.009;16,79;322.901;2.535.607;7,85;123.094;680.965;5,53;174.609;1.101.838;6,31;---;---;---
Bahamas;North America;Caribbean;---;---;---;360;1.192;3,31;540;2.023;3,75;---;---;---;---;---;---;270;2.386;8,84;---;---;---;---;---;---;270;1.650;6,11;---;---;---;---;---;---;117;499;4,27;257;770;3;1.724;6.921;4,02;---;---;---;---;---;---;419;3.296;7,88;---;---;---;45;1.200;26,67;329;2.325;7,08;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;252;1.092;4,33;504;2.184;4,33;---;---;---;---;---;---;63;645;10,24;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;986;4.307;4,37;2.268;9.750;4,3;2.331;9.978;4,28;---;---;---;---;---;---;666;5.459;8,2;---;---;---;77;1.071;14;---;---;---;338;3.308;9,8;---;---;---
Bahrain;Asia;Western Asia;---;---;---;---;---;---;585;2.284;3,9;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;180;622;3,45;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;300;3,34;---;---;---;1.170;4.906;4,19;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;113;385;3,42;---;---;---;428;1.665;3,89;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;23;70;3,11;225;1.316;5,85;720;2.701;3,75;---;---;---;108;1.638;15,17;135;1.350;10;---;---;---;120;1.919;15,99;225;1.609;7,15;---;---;---;---;---;---
Barbados;North America;Caribbean;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;135;998;7,39;---;---;---;120;1.538;12,82;90;510;5,67;---;---;---;---;---;---;---;---;---;---;---;---;252;890;3,53;---;---;---;---;---;---;329;1.468;4,47;---;---;---;342;4.167;12,19;270;1.401;5,19;---;---;---;---;---;---;36;428;11,89;---;---;---;---;---;---;---;---;---;23;405;18;54;516;9,56;---;---;---;156;2.075;13,3;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;23;405;18;158;1.470;9,33;---;---;---;227;3.127;13,81;158;819;5,2;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Belize;North America;Central America;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;110;577;5,23;245;1.234;5,03;200;1.015;5,07;---;---;---;57;1.119;19,62;15;160;10,64;36;540;15;24;278;11,56;90;567;6,3;45;336;7,47;---;---;---;5;6;1,33;---;---;---;5;6;1,33;---;---;---;---;---;---;---;---;---;---;---;---;5;6;1,33;---;---;---;---;---;---;---;---;---
Benin;Africa;Western Africa;1;0;---;2;0;---;---;---;---;---;---;---;2;2;1,33;2;2;1,33;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;2;4;2,89;---;---;---;---;---;---;---;---;---;---;---;---;1;0;---;1;29;38,53;2;56;25,05;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;2;0;---;1;0;---;1;0;---;---;---;---;1;0;---;1;0;---;---;---;---;1;0;---;---;---;---;---;---;---;---;---;---
Bermuda;North America;North America;338;1.557;4,61;858;3.897;4,54;1.409;6.293;4,47;---;---;---;540;16.550;30,65;1.242;10.091;8,13;---;---;---;1.313;24.635;18,77;468;4.111;8,78;---;---;---;---;---;---;---;---;---;1.638;6.387;3,9;2.309;9.097;3,94;---;---;---;1.881;39.288;20,89;1.382;9.615;6,96;---;---;---;1.484;24.003;16,18;2.820;12.204;4,33;---;---;---;81;503;6,21;90;414;4,6;824;3.417;4,15;1.724;7.124;4,13;---;---;---;405;5.757;14,22;1.265;8.170;6,46;---;---;---;1.593;25.018;15,7;1.287;8.102;6,3;---;---;---;---;---;---;113;484;4,3;1.454;6.496;4,47;1.782;8.065;4,53;63;276;4,38;194;2.823;14,59;828;7.284;8,8;---;---;---;1.898;39.657;20,89;1.584;9.892;6,25;---;---;---;---;---;---;189;804;4,26;1.314;6.159;4,69;2.241;10.293;4,59;---;---;---;288;5.898;20,48;1.211;10.475;8,65;---;---;---;864;28.493;32,98;2.922;18.586;6,36;---;---;---;---;---;---
Belarus;Europe;Eastern Europe;1.800;6.000;3,33;2.102;7.005;3,33;2.547;8.490;3,33;---;---;---;---;---;---;77;629;8,22;---;---;---;122;1.234;10,16;---;---;---;225;845;3,76;---;---;---;675;2.250;3,33;675;2.250;3,33;675;2.250;3,33;---;---;---;---;---;---;---;---;---;---;---;---;177;1.770;10;360;2.160;6;---;---;---;---;---;---;675;2.250;3,33;1.575;5.250;3,33;1.575;5.250;3,33;---;---;---;---;---;---;---;---;---;---;---;---;90;900;10;90;540;6;---;---;---;---;---;---;---;---;---;675;2.250;3,33;675;2.250;3,33;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;90;540;6;---;---;---;---;---;---;558;2.294;4,11;635;2.609;4,11;860;3.534;4,11;---;---;---;86;1.202;14,05;104;1.415;13,67;---;---;---;86;1.268;14,83;113;775;6,89;---;---;---;---;---;---
Bolivia;South America;South America;50;240;4,84;135;653;4,84;135;653;4,84;---;---;---;---;---;---;14;113;8,36;---;---;---;23;416;18,48;---;---;---;45;337;7,48;---;---;---;315;1.838;5,83;405;2.025;5;900;4.329;4,81;---;---;---;---;---;---;90;786;8,73;---;---;---;77;1.770;23,14;180;1.212;6,73;405;2.727;6,73;---;---;---;315;1.525;4,84;765;3.703;4,84;855;4.138;4,84;---;---;---;23;490;21,78;14;113;8,36;---;---;---;369;6.772;18,35;23;168;7,48;167;1.245;7,48;---;---;---;563;3.713;6,6;225;1.089;4,84;1.575;8.379;5,32;---;---;---;45;980;21,78;135;1.178;8,73;---;---;---;135;2.451;18,16;180;1.320;7,33;1.148;8.435;7,35;---;---;---;45;218;4,84;113;545;4,84;113;545;4,84;---;---;---;23;594;26,4;---;---;---;---;---;---;45;891;19,8;---;---;---;68;549;8,14;---;---;---
