21 - Wine sales;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Period;;;2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wine;;;Porto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;;;Porto Branco;;;Porto Tawny;;;Porto Ruby;;;Porto Rosé;;;Porto Vintage;;;Porto LBV;;;Porto Colheitas;;;Porto com Indicação de Idade;;;Porto Reserva;;;Porto Reserva Tawny;;;Porto Crusted;;
country;continent;region;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l;Litros;€;€/l
Chile;South America;South America;185;1.267;6,87;549;2.543;4,63;360;1.320;3,67;90;765;8,5;6;528;88;2.592;19.229;7,42;9;300;33,33;473;7.330;15,51;473;2.727;5,77;23;360;16;---;---;---
China;Asia;Eastern Asia;21.351;102.697;4,81;63.579;284.944;4,48;62.904;282.294;4,49;4.697;29.033;6,18;1.677;60.918;36,32;9.000;74.322;8,26;2.714;95.888;35,33;17.728;316.613;17,86;19.860;143.465;7,22;2.207;19.151;8,68;---;---;---
Cyprus;Asia;Western Asia;---;---;---;630;3.250;5,16;2.400;10.557;4,4;---;---;---;24;524;21,83;290;2.635;9,08;7;600;88,89;90;2.206;24,51;3.039;16.740;5,51;45;720;16;---;---;---
Colombia;South America;South America;1;0;---;964;4.881;5,06;554;2.475;4,47;1;0;---;---;---;---;450;4.710;10,47;---;---;---;91;2.721;29,98;1.328;10.701;8,06;45;375;8,33;---;---;---
Congo;Africa;Middle Africa;---;---;---;113;571;5,08;482;2.591;5,38;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
South Korea;Asia;Eastern Asia;3.803;19.927;5,24;11.070;52.850;4,77;18.230;78.004;4,28;---;---;---;356;15.551;43,74;2.250;22.232;9,88;104;6.345;61,3;12.224;201.530;16,49;3.789;29.949;7,9;450;7.200;16;---;---;---
Cote d'Ivoire;Africa;Western Africa;1.980;8.190;4,14;1.134;4.082;3,6;23.580;96.835;4,11;---;---;---;---;---;---;---;---;---;---;---;---;99;3.457;34,92;630;4.561;7,24;135;1.128;8,36;---;---;---
Costa Rica;North America;Caribbean;---;---;---;4.302;24.544;5,71;90;464;5,16;897;5.793;6,46;135;3.190;23,63;90;924;10,27;---;---;---;284;8.864;31,27;158;893;5,67;77;542;7,08;---;---;---
Croatia;Europe;Southern Europe;234;1.271;5,43;311;1.542;4,97;401;1.950;4,87;---;---;---;32;405;12,84;207;1.820;8,79;3;374;124,5;326;9.333;28,67;437;3.537;8,1;95;983;10,4;---;---;---
Curacao;North America;Caribbean;968;5.011;5,18;1.733;9.146;5,28;4.635;23.806;5,14;24;230;9,6;18;495;27,52;41;360;8,89;29;1.608;56,4;68;1.430;21,18;---;---;---;---;---;---;27;270;10
Denmark;Europe;Northern Europe;153.645;606.180;3,95;347.922;1.336.263;3,84;182.161;748.621;4,11;17.453;108.586;6,22;111.938;2.418.253;21,6;230.271;1.776.032;7,71;118.514;1.935.125;16,33;186.336;2.954.548;15,86;95.905;616.559;6,43;106.890;879.978;8,23;5.652;48.426;8,57
United Arab Emirates;Asia;Western Asia;90;441;4,9;17.070;90.898;5,33;27.998;139.762;4,99;---;---;---;707;31.779;44,98;15.341;132.390;8,63;26.420;1.064.090;40,28;16.854;326.733;19,39;19.879;112.741;5,67;900;14.400;16;---;---;---
Ecuador;South America;South America;---;---;---;540;2.610;4,83;11.124;51.296;4,61;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Slovakia;Europe;Eastern Europe;1.539;5.705;3,71;1.404;7.392;5,26;990;5.198;5,25;2.853;10.426;3,65;5;180;40;306;2.992;9,78;144;3.434;23,85;817;13.770;16,86;891;6.500;7,29;365;2.972;8,15;---;---;---
Slovenia;Europe;Southern Europe;194;887;4,58;2.556;13.500;5,28;1.152;5.560;4,83;---;---;---;45;1.284;28,54;90;720;8;23;366;16,27;1.127;20.642;18,32;---;---;---;---;---;---;---;---;---
Spain;Europe;Southern Europe;109.219;477.541;4,37;605.968;2.425.113;4;276.991;1.093.852;3,95;5.472;22.288;4,07;1.801;56.880;31,59;24.903;168.308;6,76;477;17.454;36,57;26.987;346.439;12,84;32.417;170.314;5,25;16.680;236.435;14,17;50;585;11,64
Estonia;Europe;Northern Europe;3.144;13.813;4,39;10.391;41.415;3,99;13.865;64.973;4,69;54;373;6,91;140;4.896;35,1;1.058;9.814;9,28;614;19.953;32,48;2.823;45.439;16,1;2.008;15.156;7,55;569;4.631;8,15;---;---;---
USA;North America;Northern America;70.754;384.014;5,43;678.453;3.492.631;5,15;772.248;3.901.581;5,05;5.440;36.555;6,72;52.315;1.311.238;25,06;306.775;2.662.880;8,68;19.471;795.646;40,86;791.593;13.392.136;16,92;863.488;6.714.107;7,78;91.628;765.533;8,35;1.062;9.514;8,96
Fiji;Oceania;Melanesia;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;153;4.326;28,27;---;---;---;---;---;---;---;---;---
Philippines;Asia;South-Eastern Asia;248;1.121;4,53;1.751;8.713;4,98;698;3.263;4,68;---;---;---;---;---;---;225;2.058;9,15;---;---;---;131;1.453;11,13;18;85;4,72;---;---;---;---;---;---
Finland;Europe;Northern Europe;3.408;19.705;5,78;24.239;108.263;4,47;32.117;181.231;5,64;2.615;11.946;4,57;711;13.890;19,54;35.609;257.857;7,24;3.830;59.976;15,66;9.854;152.872;15,51;16.934;115.916;6,85;378;2.910;7,7;---;---;---
France;Europe;Western Europe;2.980.848;10.074.976;3,38;12.817.329;42.822.196;3,34;1.267.633;4.581.121;3,61;255.097;905.068;3,55;23.399;423.692;18,11;81.951;628.312;7,67;37.821;516.345;13,65;909.040;7.327.722;8,06;201.298;1.430.499;7,11;373.701;2.217.256;5,93;432;5.058;11,71
Gabon;Africa;Middle Africa;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;36;864;24;---;---;---;---;---;---;---;---;---
Gibraltar;Europe;Southern Europe;216;1.146;5,31;986;4.555;4,62;1.530;6.894;4,51;---;---;---;23;1.263;56,13;639;5.335;8,35;---;---;---;284;5.187;18,3;360;1.974;5,48;68;672;9,96;---;---;---
Greece;Europe;Southern Europe;342;2.049;5,99;1.665;8.452;5,08;20.853;131.719;6,32;---;---;---;43;1.226;28,69;257;2.176;8,48;---;---;---;722;14.040;19,44;2.399;12.173;5,08;180;1.284;7,13;---;---;---
Guadeloupe;North America;Caribbean;---;---;---;---;---;---;252;2.128;8,44;---;---;---;36;922;25,62;126;1.109;8,8;---;---;---;165;4.887;29,62;---;---;---;---;---;---;---;---;---
Guam;Oceania;Micronesia;---;---;---;---;---;---;432;2.102;4,86;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
Guatemala;North America;Central America;1.350;6.120;4,53;2.385;11.146;4,67;513;2.852;5,56;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;45;387;8,6;---;---;---
Haiti;North America;Caribbean;---;---;---;144;730;5,07;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;72;512;7,11;---;---;---;---;---;---
Netherlands;Europe;Western Europe;1.713.741;5.394.402;3,15;1.992.437;7.171.611;3,6;5.809.471;18.716.231;3,22;82.589;331.279;4,01;19.913;426.148;21,4;127.151;983.647;7,74;46.392;742.251;16;573.833;6.101.331;10,63;257.623;1.536.997;5,97;93.217;712.245;7,64;158;2.170;13,71
Hong Kong;Asia;Eastern Asia;1.431;10.217;7,14;4.640;27.067;5,83;18.072;97.494;5,39;131;823;6,3;1.355;52.880;39,02;10.947;75.777;6,92;1.526;197.583;129,46;4.506;140.640;31,21;2.841;21.493;7,57;1.562;19.437;12,45;---;---;---
