"","year","region","wine","litres"
"132","2010","Outside Douro","Table Wine","281478"
"133","2010","Outside Douro","Port Wine",NA
"134","2010","Outside Douro","All Wines","901718"
"135","2010","All Wines Regions","Douro DOC","50406991"
"136","2010","All Wines Regions","Sparkling","195495"
"137","2010","All Wines Regions","Douro Not DOC","4979165"
"138","2010","All Wines Regions","Moscatel","4552497"
"139","2010","All Wines Regions","Table Wine","26948520"
"140","2010","All Wines Regions","Port Wine","77177801"
"141","2010","All Wines Regions","All Wines","164260469"
"142","2009","Lower Corgo","Douro DOC","12869273"
"143","2009","Lower Corgo","Sparkling","139615"
"144","2009","Lower Corgo","Douro Not DOC","727745"
"145","2009","Lower Corgo","Moscatel","51330"
"146","2009","Lower Corgo","Table Wine","7736130"
"147","2009","Lower Corgo","Port Wine","31097235"
"148","2009","Lower Corgo","All Wines","52621328"
"149","2009","Upper Corgo","Douro DOC","15265792"
"150","2009","Upper Corgo","Sparkling","88790"
"151","2009","Upper Corgo","Douro Not DOC","1793856"
"152","2009","Upper Corgo","Moscatel","3964928"
"153","2009","Upper Corgo","Table Wine","4677377"
"154","2009","Upper Corgo","Port Wine","36621565"
"155","2009","Upper Corgo","All Wines","62412308"
"156","2009","Douro Superior","Douro DOC","5986689"
"157","2009","Douro Superior","Sparkling","5500"
"158","2009","Douro Superior","Douro Not DOC","159992"
"159","2009","Douro Superior","Moscatel","59340"
"160","2009","Douro Superior","Table Wine","803870"
"161","2009","Douro Superior","Port Wine","9653096"
"162","2009","Douro Superior","All Wines","16668487"
"163","2009","Outside Douro","Douro DOC","756602"
"164","2009","Outside Douro","Sparkling",NA
"165","2009","Outside Douro","Douro Not DOC",NA
"166","2009","Outside Douro","Moscatel",NA
"167","2009","Outside Douro","Table Wine","175193"
"168","2009","Outside Douro","Port Wine",NA
"169","2009","Outside Douro","All Wines","931795"
"170","2009","All Wines Regions","Douro DOC","34878356"
"171","2009","All Wines Regions","Sparkling","233905"
"172","2009","All Wines Regions","Douro Not DOC","2681593"
"173","2009","All Wines Regions","Moscatel","4075598"
"174","2009","All Wines Regions","Table Wine","13392570"
"175","2009","All Wines Regions","Port Wine","77371896"
"176","2009","All Wines Regions","All Wines","132633918"
"177","2008","Lower Corgo","Douro DOC","9816817"
"178","2008","Lower Corgo","Sparkling","74140"
"179","2008","Lower Corgo","Douro Not DOC","1377559"
"180","2008","Lower Corgo","Moscatel","42471"
"181","2008","Lower Corgo","Table Wine","5386478"
"182","2008","Lower Corgo","Port Wine","33837394"
"183","2008","Lower Corgo","All Wines","50534859"
"184","2008","Upper Corgo","Douro DOC","15201911"
"185","2008","Upper Corgo","Sparkling","91874"
"186","2008","Upper Corgo","Douro Not DOC","1519184"
"187","2008","Upper Corgo","Moscatel","2958299"
"188","2008","Upper Corgo","Table Wine","3952526"
"189","2008","Upper Corgo","Port Wine","42915247"
"190","2008","Upper Corgo","All Wines","66639041"
"191","2008","Douro Superior","Douro DOC","7360282"
"192","2008","Douro Superior","Sparkling","2800"
"193","2008","Douro Superior","Douro Not DOC","654986"
"194","2008","Douro Superior","Moscatel","12265"
"195","2008","Douro Superior","Table Wine","959160"
"196","2008","Douro Superior","Port Wine","10433771"
"197","2008","Douro Superior","All Wines","19423264"
"198","2008","Outside Douro","Douro DOC","611830"
"199","2008","Outside Douro","Sparkling",NA
"200","2008","Outside Douro","Douro Not DOC",NA
"201","2008","Outside Douro","Moscatel",NA
"202","2008","Outside Douro","Table Wine","182152"
"203","2008","Outside Douro","Port Wine",NA
"204","2008","Outside Douro","All Wines","793982"
"205","2008","All Wines Regions","Douro DOC","32990840"
"206","2008","All Wines Regions","Sparkling","168814"
"207","2008","All Wines Regions","Douro Not DOC","3551729"
"208","2008","All Wines Regions","Moscatel","3013035"
"209","2008","All Wines Regions","Table Wine","10480316"
"210","2008","All Wines Regions","Port Wine","87186412"
"211","2008","All Wines Regions","All Wines","137391146"
