country,percent,port
Belgium,22.88044510366667,White
Belgium,30.43798944722724,Tawny
Belgium,45.60705095594139,Ruby
Belgium,1.0745144931647097,Rose
Canada,34.27005536100228,White
Canada,37.22917605723334,Tawny
Canada,27.284860672884665,Ruby
Canada,1.2159079088797198,Rose
Denmark,21.65199221331238,White
Denmark,47.7296447770257,Tawny
Denmark,26.739806761559482,Ruby
Denmark,3.878556248102441,Rose
France,17.25658788297577,White
France,73.34657557655854,Tawny
France,7.84662088912627,Ruby
France,1.5502156513394287,Rose
Germany,13.678800489766067,White
Germany,68.7068879717991,Tawny
Germany,15.922037852713736,Ruby
Germany,1.6922736857210974,Rose
Netherlands,17.063590160451273,White
Netherlands,22.68526351840002,Tawny
Netherlands,59.20324349804355,Ruby
Netherlands,1.0479028231051628,Rose
Portugal,27.11750785199387,White
Portugal,56.09038570527903,Tawny
Portugal,15.39898587632419,Ruby
Portugal,1.3931205664029078,Rose
Spain,11.882694161482275,White
Spain,60.34429731904646,Tawny
Spain,27.218414280503055,Ruby
Spain,0.5545942389682079,Rose
Total,18.880486326782535,White
Total,49.80358084657258,Tawny
Total,29.920502260262744,Ruby
Total,1.3954305663821411,Rose
United Kingdom,5.06561674217803,White
United Kingdom,11.720752704274663,Tawny
United Kingdom,80.9008402411682,Ruby
United Kingdom,2.3127903123791005,Rose
USA,4.9139444854564704,White
USA,44.69262798279312,Tawny
USA,49.9256601048705,Ruby
USA,0.4677674268799087,Rose
