wine,year,Region,Litres
Douro Wine DOC,2016,Upper Douro,8963795
Sparkling,2016,Upper Douro,31300
Douro Wine not DOC,2016,Upper Douro,65693
Moscatel,2016,Upper Douro,63622
Table Wine,2016,Upper Douro,529726
Port,2016,Upper Douro,10876786
TOTAL,2016,Upper Douro,20530922
Douro Wine DOC,2015,Upper Douro,12264473
Sparkling,2015,Upper Douro,11545
Douro Wine not DOC,2015,Upper Douro,149889
Moscatel,2015,Upper Douro,59581
Table Wine,2015,Upper Douro,942017
Port,2015,Upper Douro,10437312
TOTAL,2015,Upper Douro,23864817
Douro Wine DOC,2014,Upper Douro,10438992
Sparkling,2014,Upper Douro,19600
Douro Wine not DOC,2014,Upper Douro,152521
Moscatel,2014,Upper Douro,43082
Table Wine,2014,Upper Douro,1657257
Port,2014,Upper Douro,10550565
TOTAL,2014,Upper Douro,22862017
Douro Wine DOC,2013,Upper Douro,9590584
Sparkling,2013,Upper Douro,9650
Douro Wine not DOC,2013,Upper Douro,478828
Moscatel,2013,Upper Douro,16653
Table Wine,2013,Upper Douro,2906883
Port,2013,Upper Douro,9413971
TOTAL,2013,Upper Douro,22416569
Douro Wine DOC,2012,Upper Douro,7043334
Sparkling,2012,Upper Douro,NA
Douro Wine not DOC,2012,Upper Douro,170298
Moscatel,2012,Upper Douro,21672
Table Wine,2012,Upper Douro,1692785
Port,2012,Upper Douro,7982121
TOTAL,2012,Upper Douro,16910210
Douro Wine DOC,2011,Upper Douro,7197518
Sparkling,2011,Upper Douro,7200
Douro Wine not DOC,2011,Upper Douro,149435
Moscatel,2011,Upper Douro,10074
Table Wine,2011,Upper Douro,3327518
Port,2011,Upper Douro,6864334
TOTAL,2011,Upper Douro,17556079
Douro Wine DOC,2010,Upper Douro,9259695
Sparkling,2010,Upper Douro,8e3
Douro Wine not DOC,2010,Upper Douro,158718
Moscatel,2010,Upper Douro,9824
Table Wine,2010,Upper Douro,2286403
Port,2010,Upper Douro,11135357
TOTAL,2010,Upper Douro,22857997
Douro Wine DOC,2009,Upper Douro,5986689
Sparkling,2009,Upper Douro,5500
Douro Wine not DOC,2009,Upper Douro,159992
Moscatel,2009,Upper Douro,59340
Table Wine,2009,Upper Douro,803870
Port,2009,Upper Douro,9653096
TOTAL,2009,Upper Douro,16668487
Douro Wine DOC,2008,Upper Douro,7360282
Sparkling,2008,Upper Douro,2800
Douro Wine not DOC,2008,Upper Douro,654986
Moscatel,2008,Upper Douro,12265
Table Wine,2008,Upper Douro,959160
Port,2008,Upper Douro,10433771
TOTAL,2008,Upper Douro,19423264
Douro Wine DOC,2017,Outside Douro Region,540575
Sparkling,2017,Outside Douro Region,NA
Douro Wine not DOC,2017,Outside Douro Region,NA
Moscatel,2017,Outside Douro Region,NA
Table Wine,2017,Outside Douro Region,60920
Port,2017,Outside Douro Region,NA
TOTAL,2017,Outside Douro Region,601495
Douro Wine DOC,2016,Outside Douro Region,424583
Sparkling,2016,Outside Douro Region,NA
Douro Wine not DOC,2016,Outside Douro Region,NA
Moscatel,2016,Outside Douro Region,NA
Table Wine,2016,Outside Douro Region,79211
Port,2016,Outside Douro Region,NA
TOTAL,2016,Outside Douro Region,503794
Douro Wine DOC,2015,Outside Douro Region,823129
Sparkling,2015,Outside Douro Region,NA
Douro Wine not DOC,2015,Outside Douro Region,NA
Moscatel,2015,Outside Douro Region,NA
Table Wine,2015,Outside Douro Region,98333
Port,2015,Outside Douro Region,NA
TOTAL,2015,Outside Douro Region,921462
Douro Wine DOC,2014,Outside Douro Region,470138
Sparkling,2014,Outside Douro Region,NA
Douro Wine not DOC,2014,Outside Douro Region,NA
Moscatel,2014,Outside Douro Region,NA
Table Wine,2014,Outside Douro Region,168075
Port,2014,Outside Douro Region,NA
TOTAL,2014,Outside Douro Region,638213
Douro Wine DOC,2013,Outside Douro Region,434338
Sparkling,2013,Outside Douro Region,NA
Douro Wine not DOC,2013,Outside Douro Region,NA
Moscatel,2013,Outside Douro Region,NA
Table Wine,2013,Outside Douro Region,141288
Port,2013,Outside Douro Region,NA
TOTAL,2013,Outside Douro Region,575626
Douro Wine DOC,2012,Outside Douro Region,288663
Sparkling,2012,Outside Douro Region,NA
Douro Wine not DOC,2012,Outside Douro Region,NA
Moscatel,2012,Outside Douro Region,NA
Table Wine,2012,Outside Douro Region,189612
Port,2012,Outside Douro Region,NA
TOTAL,2012,Outside Douro Region,478275
Douro Wine DOC,2011,Outside Douro Region,354996
Sparkling,2011,Outside Douro Region,NA
Douro Wine not DOC,2011,Outside Douro Region,NA
Moscatel,2011,Outside Douro Region,NA
Table Wine,2011,Outside Douro Region,255700
Port,2011,Outside Douro Region,NA
TOTAL,2011,Outside Douro Region,610696
Douro Wine DOC,2010,Outside Douro Region,620240
Sparkling,2010,Outside Douro Region,NA
Douro Wine not DOC,2010,Outside Douro Region,NA
Moscatel,2010,Outside Douro Region,NA
Table Wine,2010,Outside Douro Region,281478
Port,2010,Outside Douro Region,NA
TOTAL,2010,Outside Douro Region,901718
Douro Wine DOC,2009,Outside Douro Region,756602
Sparkling,2009,Outside Douro Region,NA
Douro Wine not DOC,2009,Outside Douro Region,NA
Moscatel,2009,Outside Douro Region,NA
Table Wine,2009,Outside Douro Region,175193
Port,2009,Outside Douro Region,NA
TOTAL,2009,Outside Douro Region,931795
Douro Wine DOC,2008,Outside Douro Region,611830
Sparkling,2008,Outside Douro Region,NA
Douro Wine not DOC,2008,Outside Douro Region,NA
Moscatel,2008,Outside Douro Region,NA
Table Wine,2008,Outside Douro Region,182152
Port,2008,Outside Douro Region,NA
TOTAL,2008,Outside Douro Region,793982
Douro Wine DOC,2017,All Regions,51506506
Sparkling,2017,All Regions,36696
Douro Wine not DOC,2017,All Regions,1158434
Moscatel,2017,All Regions,3530427
Table Wine,2017,All Regions,6514883
Port,2017,All Regions,81637262
TOTAL,2017,All Regions,144384208
Douro Wine DOC,2016,All Regions,42582023
Sparkling,2016,All Regions,71850
Douro Wine not DOC,2016,All Regions,781013
Moscatel,2016,All Regions,3338288
Table Wine,2016,All Regions,5991848
Port,2016,All Regions,80516692
TOTAL,2016,All Regions,133281714
Douro Wine DOC,2015,All Regions,60132299
Sparkling,2015,All Regions,171389
Douro Wine not DOC,2015,All Regions,2275273
Moscatel,2015,All Regions,3119872
Table Wine,2015,All Regions,17468196
Port,2015,All Regions,77510301
TOTAL,2015,All Regions,160677330
Douro Wine DOC,2014,All Regions,46065821
Sparkling,2014,All Regions,191427
Douro Wine not DOC,2014,All Regions,1420588
Moscatel,2014,All Regions,2951290
Table Wine,2014,All Regions,16471341
Port,2014,All Regions,73312293
TOTAL,2014,All Regions,140412760
Douro Wine DOC,2013,All Regions,50476927
Sparkling,2013,All Regions,247894
Douro Wine not DOC,2013,All Regions,4263092
Moscatel,2013,All Regions,1654765
Table Wine,2013,All Regions,25899007
Port,2013,All Regions,69102750
TOTAL,2013,All Regions,151644435
Douro Wine DOC,2012,All Regions,40382488
Sparkling,2012,All Regions,260647
Douro Wine not DOC,2012,All Regions,1458535
Moscatel,2012,All Regions,1732842
Table Wine,2012,All Regions,22423725
Port,2012,All Regions,67469807
TOTAL,2012,All Regions,133728044
Douro Wine DOC,2011,All Regions,41950158
Sparkling,2011,All Regions,322489
Douro Wine not DOC,2011,All Regions,2488564
Moscatel,2011,All Regions,3777477
